作品,人物,PageRank,介数中心性,度中心性,接近中心性
呐喊,胡子,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,花白,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,从鲁镇,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,鲁镇,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,阿五,0.021074090893427325,0.009291521486643438,0.11904761904761904,0.13852813852813853
呐喊,阿五便,0.00587676906094502,0.0,0.023809523809523808,0.08465608465608465
呐喊,咸亨,0.012176139773840744,0.0,0.07142857142857142,0.11721611721611722
呐喊,宝儿,0.01710216470351617,0.0,0.047619047619047616,0.10158730158730157
呐喊,何小,0.011985774340254754,0.0005807200929152149,0.07142857142857142,0.10884353741496597
呐喊,何小仙,0.011985774340254754,0.0005807200929152149,0.07142857142857142,0.10884353741496597
呐喊,王九妈,0.010981941289879862,0.0,0.07142857142857142,0.11721611721611722
呐喊,双喜,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,阿发,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,赵贵,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,赵贵翁,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,宣公,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,左传,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,别传,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,博徒,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,胡适,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,胡适之,0.023255813953488372,0.0,0.023809523809523808,0.023809523809523808
呐喊,和尚,0.014404720583130866,0.0,0.023809523809523808,0.03571428571428571
呐喊,尼姑,0.03210690732384591,0.0023228803716608595,0.047619047619047616,0.05357142857142857
呐喊,赵府,0.013101679402296977,0.0,0.023809523809523808,0.031746031746031744
呐喊,邹七嫂,0.03395077574659743,0.0011614401858304297,0.047619047619047616,0.047619047619047616
呐喊,赵太,0.022714986711570698,0.0,0.023809523809523808,0.031746031746031744
呐喊,桑树,0.014404720583130866,0.0,0.023809523809523808,0.03571428571428571
