work,character,sentiment
而已集,崔琰,positive
而已集,平叔,neutral
而已集,晏性,negative
而已集,顾影,negative
而已集,裴启,neutral
而已集,朱衣,neutral
而已集,帝始信,neutral
而已集,秦丞相,negative
而已集,秦承祖,negative
而已集,皇甫,negative
而已集,华佗,negative
而已集,仲景,negative
而已集,张机,negative
而已集,隋炀帝,negative
而已集,寿光,negative
而已集,葛洪传,positive
而已集,荣利,positive
而已集,侯白,neutral
而已集,魏孝文帝,neutral
而已集,诸王,neutral
而已集,亦云,positive
而已集,今得石,negative
而已集,王大,negative
而已集,桓为,negative
而已集,桓乃,negative
而已集,桓以,negative
而已集,何预卿,negative
而已集,王叹,negative
而已集,灵宝,negative
而已集,尚书郎,negative
而已集,夏侯尚,neutral
而已集,侍郎,neutral
而已集,常侍,negative
而已集,袁彦伯,positive
而已集,梁刘孝,positive
而已集,王辅嗣,positive
而已集,嵇叔,positive
而已集,刘伯伦,positive
而已集,阮仲容,positive
而已集,王浚仲,positive
而已集,刘孝标,positive
而已集,彭城,negative
而已集,宋武帝,negative
而已集,司马炎代,negative
而已集,唐书,negative
而已集,玄晏,positive
而已集,梁习传,negative
而已集,张英,neutral
而已集,籍兄子,neutral
而已集,康善,neutral
而已集,刘伶字,negative
而已集,伯伦,positive
而已集,托言,positive
而已集,止则操,positive
而已集,嵇喜,positive
而已集,大悦,neutral
而已集,常有子,negative
而已集,胡母辅,negative
而已集,王蒙传,neutral
而已集,王蒙,neutral
而已集,仲祖,neutral
而已集,王文,neutral
而已集,刘伶恒,negative
而已集,晋纪,negative
而已集,籍醉,negative
而已集,张邈,negative
而已集,周武王,negative
而已集,管蔡,neutral
而已集,封叔,negative
而已集,封叔度,negative
而已集,子武庚,negative
而已集,封叔旦,negative
而已集,鲁而相,negative
而已集,王少,negative
而已集,蔡叔疑,positive
而已集,周公之,positive
而已集,蔡皆,negative
而已集,周公践,negative
而已集,武陟,positive
而已集,魏元帝,positive
而已集,曹奂,positive
而已集,康作书,positive
而已集,康自代,positive
而已集,康答书,positive
而已集,薄汤武,positive
而已集,吕昭子,negative
而已集,安妻,positive
而已集,徐氏,positive
而已集,安引康,positive
而已集,康义,positive
而已集,安亦,positive
而已集,晋惠帝,negative
而已集,左仆射,negative
而已集,司马伦,negative
而已集,赵王,negative
而已集,王衍之,neutral
而已集,陈国阳,negative
而已集,太康,negative
而已集,太尉,negative
而已集,今忠贤,positive
而已集,若卿,positive
而已集,田子方,positive
而已集,鲁人,positive
而已集,温伯雪子,positive
而已集,成玄英,negative
而已集,温伯,positive
而已集,子浑,positive
而已集,籍谓,positive
而已集,仲容,positive
而已集,阮熙,negative
