work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
朝花夕拾,OVERALL,89,84.76190476190476,4.515151515151516,3.9238539238539243,11
朝花夕拾,OVERALL,90,85.71428571428571,2.3333333333333335,3.814992025518342,15
朝花夕拾,OVERALL,91,86.66666666666667,4.5964912280701755,3.52422723475355,19
朝花夕拾,OVERALL,92,87.61904761904762,3.642857142857143,4.596122659590152,14
朝花夕拾,OVERALL,93,88.57142857142857,5.549019607843137,4.051613237887747,17
朝花夕拾,OVERALL,94,89.52380952380953,2.962962962962963,4.048438634713144,9
朝花夕拾,OVERALL,95,90.47619047619048,3.6333333333333337,4.161728395061728,10
朝花夕拾,OVERALL,96,91.42857142857143,5.888888888888889,5.488888888888888,9
朝花夕拾,OVERALL,97,92.38095238095238,6.944444444444444,5.2444444444444445,12
朝花夕拾,OVERALL,98,93.33333333333333,2.9,3.531481481481481,10
朝花夕拾,OVERALL,99,94.28571428571428,0.75,2.698148148148148,8
朝花夕拾,OVERALL,100,95.23809523809523,4.444444444444445,4.189814814814815,9
朝花夕拾,OVERALL,101,96.19047619047619,7.375,4.606481481481482,8
朝花夕拾,OVERALL,102,97.14285714285714,2.0,4.769444444444445,10
朝花夕拾,OVERALL,103,98.09523809523809,4.933333333333334,4.025396825396825,15
朝花夕拾,OVERALL,104,99.04761904761905,5.142857142857143,4.556261022927689,14
朝花夕拾,OVERALL,105,100.0,3.592592592592592,4.367724867724868,9
而已集,鲁迅,45,18.672199170124482,4.28888888888889,4.644444444444445,15
而已集,鲁迅,47,19.502074688796682,5.0,5.506552706552707,10
而已集,鲁迅,49,20.33195020746888,7.230769230769231,6.581973581973582,13
而已集,鲁迅,51,21.16182572614108,7.515151515151515,6.733488733488733,11
而已集,鲁迅,53,21.991701244813278,5.454545454545454,5.073232323232323,11
而已集,鲁迅,76,31.535269709543567,2.25,4.7533670033670035,4
而已集,鲁迅,84,34.85477178423236,6.555555555555555,4.37962962962963,15
而已集,鲁迅,112,46.47302904564315,4.333333333333334,5.708994708994709,16
而已集,鲁迅,123,51.037344398340245,6.238095238095238,4.616402116402117,7
而已集,鲁迅,126,52.282157676348554,3.2777777777777777,4.310846560846561,18
而已集,鲁迅,127,52.69709543568465,3.4166666666666665,3.1846978557504872,12
而已集,鲁迅,128,53.11203319502075,2.8596491228070176,3.610623781676413,19
而已集,鲁迅,130,53.941908713692946,4.555555555555555,3.25744917850181,36
而已集,鲁迅,131,54.356846473029044,2.357142857142857,4.170899470899471,14
而已集,鲁迅,133,55.18672199170125,5.6,4.0134920634920634,15
而已集,鲁迅,134,55.601659751037346,4.083333333333333,4.761111111111111,12
而已集,鲁迅,142,58.921161825726145,4.6,4.038888888888889,5
而已集,鲁迅,144,59.75103734439834,3.4333333333333327,3.8583333333333325,10
而已集,鲁迅,145,60.16597510373444,3.5416666666666665,3.777991452991453,8
而已集,鲁迅,147,60.99585062240664,4.358974358974359,5.033547008547008,26
而已集,鲁迅,149,61.82572614107884,7.2,5.297435897435897,20
而已集,鲁迅,164,68.04979253112033,4.333333333333333,5.27719298245614,6
而已集,鲁迅,165,68.46473029045643,4.298245614035087,5.293859649122807,19
而已集,鲁迅,169,70.12448132780082,7.25,5.9776203328834905,20
而已集,鲁迅,173,71.78423236514523,6.384615384615385,6.072649572649573,13
而已集,鲁迅,174,72.19917012448133,4.583333333333333,5.308760683760684,4
而已集,鲁迅,196,81.32780082987551,4.958333333333333,4.875,16
而已集,鲁迅,200,82.98755186721992,5.083333333333333,4.458333333333333,24
而已集,鲁迅,201,83.40248962655602,3.3333333333333335,3.842592592592592,6
而已集,鲁迅,209,86.72199170124482,3.111111111111111,3.2870370370370368,15
而已集,鲁迅,210,87.13692946058092,3.4166666666666665,3.651234567901234,12
而已集,鲁迅,211,87.55186721991701,4.425925925925926,3.9808641975308636,18
而已集,鲁迅,219,90.87136929460581,4.1,3.93721340388007,10
而已集,鲁迅,220,91.28630705394191,3.2857142857142856,4.556349206349206,7
而已集,鲁迅,222,92.11618257261411,6.283333333333333,5.256349206349206,20
而已集,鲁迅,226,93.7759336099585,6.2,4.961111111111111,15
而已集,鲁迅,237,98.3402489626556,2.4,4.366666666666666,5
而已集,鲁迅,238,98.7551867219917,4.5,4.339682539682539,6
而已集,鲁迅,239,99.1701244813278,6.119047619047619,4.808201058201058,14
而已集,鲁迅,240,99.5850622406639,3.8055555555555554,4.962301587301587,12
而已集,曹操,2,0.8298755186721992,5.033333333333333,4.933333333333334,20
而已集,曹操,3,1.2448132780082988,4.833333333333333,4.8700854700854705,16
而已集,曹操,4,1.6597510373443984,4.743589743589744,4.74132730015083,13
而已集,曹操,5,2.0746887966804977,4.647058823529412,4.759845818669349,17
而已集,曹操,7,2.904564315352697,4.888888888888889,5.65087145969499,9
而已集,曹操,8,3.319502074688797,7.416666666666667,6.524074074074075,12
而已集,曹操,9,3.7344398340248963,7.266666666666667,6.347435897435897,15
而已集,曹操,14,5.809128630705394,4.358974358974359,6.461072261072261,13
而已集,曹操,19,7.883817427385892,7.757575757575759,5.583294483294484,11
而已集,曹操,21,8.71369294605809,4.633333333333334,6.713636363636364,30
而已集,曹操,30,12.448132780082988,7.75,6.377777777777777,12
而已集,曹操,32,13.278008298755188,6.75,6.87037037037037,4
而已集,曹操,33,13.692946058091287,6.111111111111111,7.064814814814814,9
而已集,曹操,34,14.107883817427386,8.333333333333334,6.106481481481481,3
而已集,曹操,35,14.522821576763487,3.875,5.958333333333333,8
而已集,曹操,36,14.937759336099585,5.666666666666667,4.847222222222222,12
而已集,曹操,37,15.352697095435685,5.0,5.291666666666667,0
